Time (s),Energy (J)
0.004166666666666667,0.006414517518658824
0.0125,0.006348677996524495
0.020833333333333336,0.006316132984577364
0.02916666666666667,0.006247652824654466
0.0375,0.006215903690146737
0.04583333333333332,0.006184928868175444
0.05416666666666667,0.006141061484024442
0.0625,0.006076908090438586
0.07083333333333333,0.005998867735836133
0.07916666666666666,0.0059056974289993895
0.08749999999999997,0.005814015848630713
0.0958333333333333,0.005752083584826109
0.10416666666666669,0.005694375915092864
0.11250000000000004,0.005639720371913903
0.12083333333333335,0.005623399938072579
0.12916666666666665,0.005618266165379242
0.13749999999999996,0.0055685228865318195
0.14583333333333326,0.005521705677053811
0.15416666666666656,0.005521978143655161
0.16249999999999998,0.005451400063004264
0.1708333333333334,0.005405002122687887
0.17916666666666659,0.00538239781723434
0.1875,0.0053577588057927145
0.19583333333333353,0.0053109927427770764
0.20416666666666683,0.005274373472981472
0.21250000000000013,0.005262645100596666
0.22083333333333344,0.005210509454906392
0.22916666666666674,0.005162990309358642
0.23750000000000004,0.005172719239903811
0.24583333333333335,0.005185718547708329
0.25416666666666665,0.005182693311737846
0.26249999999999996,0.005241986225709053
0.2708333333333335,0.005280346436569536
0.2791666666666668,0.005280138624207509
0.2875000000000001,0.0053193080763427325
0.2958333333333334,0.0053558133826683285
0.3041666666666667,0.005368664701571407
0.3125,0.005380907524887776
0.3208333333333333,0.00541209034213086
0.3291666666666666,0.005453644066294852
0.3374999999999999,0.00550503811003554
0.3458333333333332,0.005552671769959119
0.3541666666666665,0.005586881307580796
0.3624999999999998,0.005624387594131405
0.3708333333333331,0.005663227620742353
0.37916666666666643,0.005725404063284617
0.3875000000000002,0.005776467831135751
0.3958333333333339,0.005825560278374831
0.4041666666666668,0.005858241618950599
0.41249999999999964,0.005893493367072178
0.4208333333333334,0.0059346760534423615
0.42916666666666714,0.0060050199299002405
0.4375,0.006056670912433837
0.44583333333333286,0.006070231122769887
0.4541666666666666,0.0061221184544671126
0.46250000000000036,0.0061848384872791595
0.4708333333333332,0.00620019163341895
0.4791666666666661,0.006234050507317457
0.4874999999999998,0.0062664658486203395
0.49583333333333357,0.006274689599859162
0.5041666666666664,0.006342364081606655
0.5124999999999993,0.0063185246078755475
0.5208333333333321,0.006324629655394348
0.5291666666666668,0.006407619546117321
0.5375000000000014,0.006394451548408925
0.5458333333333343,0.006384033657478971
0.5541666666666671,0.00644324549902503
0.5625,0.0064353994913165236
0.5708333333333329,0.006446603950892943
0.5791666666666657,0.006475150480518499
0.5874999999999986,0.006416657110542234
0.5958333333333332,0.006433246527433156
0.6041666666666679,0.0064954817328545245
0.6125000000000007,0.006417340356740381
0.6208333333333336,0.006367973881701128
0.6291666666666664,0.006345332036489848
0.6374999999999993,0.006251688186568238
0.6458333333333321,0.006251825338718681
0.6541666666666668,0.006286908053166229
0.6625000000000014,0.006254546880777645
0.6708333333333343,0.006245698034041625
0.6791666666666671,0.006235721104525055
0.6875,0.006131919322092616
0.6958333333333329,0.006092158748586124
0.7041666666666657,0.006053942655097372
0.7124999999999986,0.0060254032935529445
0.7208333333333332,0.006038940010044236
0.7291666666666679,0.005955559663738397
0.7375000000000007,0.005849667056118113
0.7458333333333336,0.005804847268622015
0.7541666666666664,0.005748844236612205
0.7624999999999993,0.005707583820384499
0.7708333333333321,0.0057015682889986485
0.779166666666665,0.00568268081874862
0.7874999999999979,0.005748152390461947
0.7958333333333307,0.005718644933229544
0.8041666666666636,0.0056225366441777225
0.8125,0.005606365081717746
0.8208333333333364,0.005590557504210558
0.8291666666666693,0.0055455762716685175
0.8375000000000021,0.005566605802137137
0.845833333333335,0.005595037625743926
0.8541666666666679,0.005611942711198026
0.8625000000000007,0.005644350355312244
0.8708333333333336,0.005628534551961106
0.8791666666666664,0.005623188534949808
0.8874999999999993,0.005614811835735201
0.8958333333333321,0.005586934261013421
0.904166666666665,0.005570235058849349
0.9124999999999979,0.005589255995667508
0.9208333333333307,0.0056180914063878595
0.9291666666666636,0.005656397303907823
0.9375,0.0056869297936761876
0.9458333333333364,0.0057182639559721915
0.9541666666666693,0.0057283516553180425
0.9625000000000021,0.00566374124898994
0.970833333333335,0.00555635686768724
0.9791666666666679,0.005557453787744082
0.9875000000000007,0.005636690341696171
0.9958333333333336,0.00572586786399415
1.0124999999999993,0.0059513082254749605
1.0458333333333343,0.006301518922034843
1.0708333333333364,0.006538621218898422
1.0958333333333314,0.006628105657127459
1.125,0.006653562109502298
1.1375000000000028,0.006692482033022418
1.1458333333333357,0.006756320160822615
1.1541666666666686,0.006724003172731308
1.1625000000000014,0.0067150135898297325
1.1708333333333343,0.0067628157915856635
1.1791666666666671,0.0067738157414633515
1.1875,0.006815793072387388
1.1958333333333329,0.006892172746302605
1.2041666666666657,0.006887508568374501
1.2124999999999986,0.006841225928489847
1.2208333333333314,0.006798674910603597
1.2291666666666643,0.006788434949815958
1.2374999999999972,0.0067381108112675725
1.24583333333333,0.006699426599533154
1.25416666666667,0.006748734579094806
1.2625000000000028,0.006748867325563179
1.2708333333333357,0.006645455293304181
1.2791666666666686,0.006511900221676914
1.2875000000000014,0.006491621542158099
1.2958333333333343,0.006458536356331035
1.3041666666666671,0.006368359639260968
1.3125,0.006363018281331456
1.3208333333333329,0.006386010282136534
1.3291666666666657,0.006311387850879369
1.3374999999999986,0.006183665134203764
1.3458333333333314,0.0061755030365132635
1.3541666666666643,0.006124094524012413
1.3624999999999972,0.00608483443136093
1.37083333333333,0.0060879178307645665
1.37916666666667,0.005979930106024489
1.3875000000000028,0.005890260856941942
